Year,Units,display,title,sex,Bundesland,GeoCode,Value
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,34.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,38.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,35.7
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,35.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,40.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,41.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,39.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,44.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sl,Saarland,47.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,32.8
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,35.0
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,33.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,37.2
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,40.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,36.8
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,38.7
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,42.2
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,39.9
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,35.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,41.3
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,37.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,40.4
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,49.2
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sl,Saarland,54.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,32.5
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,35.0
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,31.7
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,35.1
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,34.2
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,28.8
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,30.8
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,34.7
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,32.3
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,35.8
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,39.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,44.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,39.4
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,40.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sl,Saarland,41.5
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,37.9
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,40.6
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,44.3
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,44.4
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,46.0
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,46.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,44.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,42.7
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,45.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,46.2
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,48.3
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,46.2
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,48.0
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,49.2
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sn,Sachsen,50.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,42.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,48.2
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,52.4
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,52.4
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,55.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,55.0
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,53.1
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,50.5
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,55.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,54.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,56.3
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,54.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,56.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,57.4
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sn,Sachsen,59.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,34.3
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,34.0
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,37.3
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,37.8
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,37.8
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,38.6
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,36.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,36.0
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,37.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,39.1
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,41.0
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,38.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,39.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,41.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sn,Sachsen,41.7
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,27.9
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,28.4
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,27.0
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,30.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,32.3
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,32.2
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,31.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,30.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,30.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,32.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,34.2
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,33.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,35.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,38.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,st,Sachsen-Anhalt,36.6
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,31.2
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,32.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,34.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,36.6
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,36.9
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,37.1
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,37.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,36.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,36.5
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,38.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,39.8
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,41.5
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,41.2
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,44.3
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,st,Sachsen-Anhalt,41.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,25.2
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,24.9
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,20.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,24.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,27.9
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,27.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,26.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,25.9
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,25.6
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,26.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,29.6
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,26.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,30.8
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,32.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,st,Sachsen-Anhalt,32.3
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,32.5
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,30.6
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,31.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,32.1
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,34.6
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,35.8
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,40.4
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,37.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,38.2
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,38.9
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,39.7
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,40.1
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,42.4
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,43.4
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,sh,Schleswig-Holstein,43.4
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,32.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,30.9
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,31.2
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,32.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,35.8
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,36.7
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,41.7
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,39.2
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,40.7
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,40.7
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,43.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,42.9
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,47.0
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,49.1
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,sh,Schleswig-Holstein,45.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,33.0
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,30.3
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,32.5
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,31.3
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,33.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,34.9
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,39.0
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,35.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,35.4
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,37.0
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,35.5
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,37.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,37.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,37.8
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,sh,Schleswig-Holstein,41.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,31.2
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,32.2
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,36.5
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,35.7
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,35.4
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,36.4
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,37.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,39.1
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,39.8
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,37.6
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,36.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,40.3
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,40.7
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,44.6
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male and female,th,Thüringen,44.8
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,33.8
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,35.1
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,40.8
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,41.9
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,42.5
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,43.0
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,45.2
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,46.3
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,47.1
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,44.5
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,45.4
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,48.0
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,49.5
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,51.7
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,female,th,Thüringen,51.2
2005,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,29.1
2006,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,29.7
2007,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,32.6
2008,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,30.4
2009,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,29.1
2010,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,30.5
2011,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,29.9
2012,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,32.8
2013,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,33.0
2014,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,31.3
2015,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,29.9
2016,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,33.4
2017,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,32.9
2018,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,38.1
2019,percentage (%),a) time series,tertiary or post-secondary non-tertiary education,male,th,Thüringen,38.9
1999,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,24.8
2000,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,25.3
2001,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,25.1
2002,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,25.1
2003,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,25.0
2004,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,26.8
2005,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,26.1
2006,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,25.8
2007,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,26.5
2008,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,27.6
2009,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,29.4
2010,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,29.8
2011,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,30.7
2012,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,31.9
2013,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,33.1
2014,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,31.4
2015,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,32.3
2016,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,33.1
2017,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,34.0
2018,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,34.9
2019,percentage (%),a) time series,tertiary education,male and female,a) germany (total),,35.5
