Year,Units,display,age,Bundesland,Kreis,GeoCode,Value
2006,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,7.9
2007,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,9.5
2008,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,10.7
2009,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,12.5
2010,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,14.3
2011,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,16.6
2012,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,18.8
2013,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,21.4
2014,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,24.0
2015,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,26.6
2016,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,28.8
2017,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,30.1
2018,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,31.6
2019,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,34.9
2020,percentage (%),a) time series,3- to 5-year-olds,ni,,code03,37.3
2006,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,19.0
2007,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,21.7
2008,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,26.7
2009,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,30.5
2010,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,33.3
2011,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,35.7
2012,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,37.8
2013,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,39.7
2014,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,41.4
2015,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,44.1
2016,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,44.9
2017,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,45.4
2018,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,46.0
2019,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,46.6
2020,percentage (%),a) time series,3- to 5-year-olds,nw,,code05,46.9
2006,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,18.1
2007,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,20.2
2008,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,23.3
2009,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,28.4
2010,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,33.6
2011,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,38.6
2012,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,44.7
2013,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,46.6
2014,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,47.9
2015,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,49.6
2016,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,50.8
2017,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,52.2
2018,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,52.5
2019,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,53.4
2020,percentage (%),a) time series,3- to 5-year-olds,rp,,code07,53.2
2006,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,14.8
2007,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,16.1
2008,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,18.9
2009,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,22.6
2010,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,25.7
2011,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,30.0
2012,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,34.8
2013,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,39.1
2014,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,42.5
2015,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,46.2
2016,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,48.6
2017,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,49.3
2018,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,52.1
2019,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,54.5
2020,percentage (%),a) time series,3- to 5-year-olds,sl,,code10,56.4
2006,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,59.5
2007,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,62.2
2008,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,65.9
2009,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,70.2
2010,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,74.8
2011,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,75.6
2012,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,76.2
2013,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,77.9
2014,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,79.0
2015,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,81.0
2016,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,80.9
2017,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,81.8
2018,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,82.1
2019,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,82.3
2020,percentage (%),a) time series,3- to 5-year-olds,sn,,code14,82.9
2006,percentage (%),a) time series,3- to 5-year-olds,st,,code15,50.6
2007,percentage (%),a) time series,3- to 5-year-olds,st,,code15,53.1
2008,percentage (%),a) time series,3- to 5-year-olds,st,,code15,54.5
2009,percentage (%),a) time series,3- to 5-year-olds,st,,code15,56.4
2010,percentage (%),a) time series,3- to 5-year-olds,st,,code15,58.0
2011,percentage (%),a) time series,3- to 5-year-olds,st,,code15,61.2
2012,percentage (%),a) time series,3- to 5-year-olds,st,,code15,63.4
2013,percentage (%),a) time series,3- to 5-year-olds,st,,code15,65.0
2014,percentage (%),a) time series,3- to 5-year-olds,st,,code15,80.2
2015,percentage (%),a) time series,3- to 5-year-olds,st,,code15,82.9
2016,percentage (%),a) time series,3- to 5-year-olds,st,,code15,81.4
2017,percentage (%),a) time series,3- to 5-year-olds,st,,code15,80.7
2018,percentage (%),a) time series,3- to 5-year-olds,st,,code15,80.4
2019,percentage (%),a) time series,3- to 5-year-olds,st,,code15,81.4
2020,percentage (%),a) time series,3- to 5-year-olds,st,,code15,82.1
2006,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,10.0
2007,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,11.1
2008,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,12.6
2009,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,14.2
2010,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,16.0
2011,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,19.1
2012,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,21.3
2013,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,24.1
2014,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,25.7
2015,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,29.6
2016,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,31.5
2017,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,34.2
2018,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,35.0
2019,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,36.7
2020,percentage (%),a) time series,3- to 5-year-olds,sh,,code01,37.2
2006,percentage (%),a) time series,3- to 5-year-olds,th,,code16,84.0
2007,percentage (%),a) time series,3- to 5-year-olds,th,,code16,84.5
2008,percentage (%),a) time series,3- to 5-year-olds,th,,code16,84.9
2009,percentage (%),a) time series,3- to 5-year-olds,th,,code16,86.1
2010,percentage (%),a) time series,3- to 5-year-olds,th,,code16,87.1
2011,percentage (%),a) time series,3- to 5-year-olds,th,,code16,89.4
2012,percentage (%),a) time series,3- to 5-year-olds,th,,code16,87.4
2013,percentage (%),a) time series,3- to 5-year-olds,th,,code16,88.1
2014,percentage (%),a) time series,3- to 5-year-olds,th,,code16,91.0
2015,percentage (%),a) time series,3- to 5-year-olds,th,,code16,91.4
2016,percentage (%),a) time series,3- to 5-year-olds,th,,code16,90.8
2017,percentage (%),a) time series,3- to 5-year-olds,th,,code16,91.8
2018,percentage (%),a) time series,3- to 5-year-olds,th,,code16,91.8
2019,percentage (%),a) time series,3- to 5-year-olds,th,,code16,92.3
2020,percentage (%),a) time series,3- to 5-year-olds,th,,code16,92.2
2012,percentage (%),a) time series,3- to 5-year-olds,bw,"stuttgart, stadt",code08111,44.4
2013,percentage (%),a) time series,3- to 5-year-olds,bw,"stuttgart, stadt",code08111,47.4
2014,percentage (%),a) time series,3- to 5-year-olds,bw,"stuttgart, stadt",code08111,50.9
2015,percentage (%),a) time series,3- to 5-year-olds,bw,"stuttgart, stadt",code08111,53.5
2016,percentage (%),a) time series,3- to 5-year-olds,bw,"stuttgart, stadt",code08111,57.5
2017,percentage (%),a) time series,3- to 5-year-olds,bw,"stuttgart, stadt",code08111,63.1
2018,percentage (%),a) time series,3- to 5-year-olds,bw,"stuttgart, stadt",code08111,64.1
2012,percentage (%),a) time series,3- to 5-year-olds,bw,böblingen,code08115,13.3
2013,percentage (%),a) time series,3- to 5-year-olds,bw,böblingen,code08115,14.2
2014,percentage (%),a) time series,3- to 5-year-olds,bw,böblingen,code08115,15.7
2015,percentage (%),a) time series,3- to 5-year-olds,bw,böblingen,code08115,17.6
2016,percentage (%),a) time series,3- to 5-year-olds,bw,böblingen,code08115,18.5
2017,percentage (%),a) time series,3- to 5-year-olds,bw,böblingen,code08115,20.6
2018,percentage (%),a) time series,3- to 5-year-olds,bw,böblingen,code08115,19.6
2012,percentage (%),a) time series,3- to 5-year-olds,bw,esslingen,code08116,14.0
2013,percentage (%),a) time series,3- to 5-year-olds,bw,esslingen,code08116,15.1
2014,percentage (%),a) time series,3- to 5-year-olds,bw,esslingen,code08116,18.2
2015,percentage (%),a) time series,3- to 5-year-olds,bw,esslingen,code08116,19.6
2016,percentage (%),a) time series,3- to 5-year-olds,bw,esslingen,code08116,21.2
2017,percentage (%),a) time series,3- to 5-year-olds,bw,esslingen,code08116,23.3
2018,percentage (%),a) time series,3- to 5-year-olds,bw,esslingen,code08116,24.3
2012,percentage (%),a) time series,3- to 5-year-olds,bw,göppingen,code08117,11.7
2013,percentage (%),a) time series,3- to 5-year-olds,bw,göppingen,code08117,13.3
2014,percentage (%),a) time series,3- to 5-year-olds,bw,göppingen,code08117,14.4
2015,percentage (%),a) time series,3- to 5-year-olds,bw,göppingen,code08117,16.5
2016,percentage (%),a) time series,3- to 5-year-olds,bw,göppingen,code08117,17.3
2017,percentage (%),a) time series,3- to 5-year-olds,bw,göppingen,code08117,18.0
2018,percentage (%),a) time series,3- to 5-year-olds,bw,göppingen,code08117,19.0
2012,percentage (%),a) time series,3- to 5-year-olds,bw,ludwigsburg,code08118,12.0
2013,percentage (%),a) time series,3- to 5-year-olds,bw,ludwigsburg,code08118,13.9
2014,percentage (%),a) time series,3- to 5-year-olds,bw,ludwigsburg,code08118,16.3
2015,percentage (%),a) time series,3- to 5-year-olds,bw,ludwigsburg,code08118,19.7
2016,percentage (%),a) time series,3- to 5-year-olds,bw,ludwigsburg,code08118,21.4
2017,percentage (%),a) time series,3- to 5-year-olds,bw,ludwigsburg,code08118,22.6
2018,percentage (%),a) time series,3- to 5-year-olds,bw,ludwigsburg,code08118,22.6
2012,percentage (%),a) time series,3- to 5-year-olds,bw,rems-murr-kreis,code08119,9.0
2013,percentage (%),a) time series,3- to 5-year-olds,bw,rems-murr-kreis,code08119,10.6
2014,percentage (%),a) time series,3- to 5-year-olds,bw,rems-murr-kreis,code08119,12.9
2015,percentage (%),a) time series,3- to 5-year-olds,bw,rems-murr-kreis,code08119,15.4
2016,percentage (%),a) time series,3- to 5-year-olds,bw,rems-murr-kreis,code08119,16.8
2017,percentage (%),a) time series,3- to 5-year-olds,bw,rems-murr-kreis,code08119,17.7
2018,percentage (%),a) time series,3- to 5-year-olds,bw,rems-murr-kreis,code08119,17.7
2012,percentage (%),a) time series,3- to 5-year-olds,bw,"heilbronn, stadt",code08121,20.8
2013,percentage (%),a) time series,3- to 5-year-olds,bw,"heilbronn, stadt",code08121,23.7
2014,percentage (%),a) time series,3- to 5-year-olds,bw,"heilbronn, stadt",code08121,26.2
2015,percentage (%),a) time series,3- to 5-year-olds,bw,"heilbronn, stadt",code08121,29.2
2016,percentage (%),a) time series,3- to 5-year-olds,bw,"heilbronn, stadt",code08121,30.2
2017,percentage (%),a) time series,3- to 5-year-olds,bw,"heilbronn, stadt",code08121,33.8
2018,percentage (%),a) time series,3- to 5-year-olds,bw,"heilbronn, stadt",code08121,33.3
2012,percentage (%),a) time series,3- to 5-year-olds,bw,heilbronn,code08125,12.8
2013,percentage (%),a) time series,3- to 5-year-olds,bw,heilbronn,code08125,13.9
2014,percentage (%),a) time series,3- to 5-year-olds,bw,heilbronn,code08125,15.3
2015,percentage (%),a) time series,3- to 5-year-olds,bw,heilbronn,code08125,16.7
2016,percentage (%),a) time series,3- to 5-year-olds,bw,heilbronn,code08125,18.3
2017,percentage (%),a) time series,3- to 5-year-olds,bw,heilbronn,code08125,18.9
2018,percentage (%),a) time series,3- to 5-year-olds,bw,heilbronn,code08125,19.9
2012,percentage (%),a) time series,3- to 5-year-olds,bw,hohenlohekreis,code08126,8.5
2013,percentage (%),a) time series,3- to 5-year-olds,bw,hohenlohekreis,code08126,9.9
2014,percentage (%),a) time series,3- to 5-year-olds,bw,hohenlohekreis,code08126,10.8
2015,percentage (%),a) time series,3- to 5-year-olds,bw,hohenlohekreis,code08126,12.9
2016,percentage (%),a) time series,3- to 5-year-olds,bw,hohenlohekreis,code08126,12.8
2017,percentage (%),a) time series,3- to 5-year-olds,bw,hohenlohekreis,code08126,12.8
2018,percentage (%),a) time series,3- to 5-year-olds,bw,hohenlohekreis,code08126,13.3
2012,percentage (%),a) time series,3- to 5-year-olds,bw,schwäbisch hall,code08127,11.9
2013,percentage (%),a) time series,3- to 5-year-olds,bw,schwäbisch hall,code08127,15.5
2014,percentage (%),a) time series,3- to 5-year-olds,bw,schwäbisch hall,code08127,21.0
2015,percentage (%),a) time series,3- to 5-year-olds,bw,schwäbisch hall,code08127,18.8
2016,percentage (%),a) time series,3- to 5-year-olds,bw,schwäbisch hall,code08127,20.5
2017,percentage (%),a) time series,3- to 5-year-olds,bw,schwäbisch hall,code08127,21.3
2018,percentage (%),a) time series,3- to 5-year-olds,bw,schwäbisch hall,code08127,22.9
2012,percentage (%),a) time series,3- to 5-year-olds,bw,main-tauber-kreis,code08128,7.1
2013,percentage (%),a) time series,3- to 5-year-olds,bw,main-tauber-kreis,code08128,10.1
2014,percentage (%),a) time series,3- to 5-year-olds,bw,main-tauber-kreis,code08128,12.4
2015,percentage (%),a) time series,3- to 5-year-olds,bw,main-tauber-kreis,code08128,13.3
2016,percentage (%),a) time series,3- to 5-year-olds,bw,main-tauber-kreis,code08128,12.3
2017,percentage (%),a) time series,3- to 5-year-olds,bw,main-tauber-kreis,code08128,13.9
2018,percentage (%),a) time series,3- to 5-year-olds,bw,main-tauber-kreis,code08128,16.1
2012,percentage (%),a) time series,3- to 5-year-olds,bw,heidenheim,code08135,11.3
2013,percentage (%),a) time series,3- to 5-year-olds,bw,heidenheim,code08135,12.7
2014,percentage (%),a) time series,3- to 5-year-olds,bw,heidenheim,code08135,14.0
2015,percentage (%),a) time series,3- to 5-year-olds,bw,heidenheim,code08135,15.7
2016,percentage (%),a) time series,3- to 5-year-olds,bw,heidenheim,code08135,18.2
2017,percentage (%),a) time series,3- to 5-year-olds,bw,heidenheim,code08135,20.4
2018,percentage (%),a) time series,3- to 5-year-olds,bw,heidenheim,code08135,19.4
2012,percentage (%),a) time series,3- to 5-year-olds,bw,ostalbkreis,code08136,6.2
2013,percentage (%),a) time series,3- to 5-year-olds,bw,ostalbkreis,code08136,7.7
2014,percentage (%),a) time series,3- to 5-year-olds,bw,ostalbkreis,code08136,9.2
2015,percentage (%),a) time series,3- to 5-year-olds,bw,ostalbkreis,code08136,10.6
2016,percentage (%),a) time series,3- to 5-year-olds,bw,ostalbkreis,code08136,11.3
2017,percentage (%),a) time series,3- to 5-year-olds,bw,ostalbkreis,code08136,13.5
2018,percentage (%),a) time series,3- to 5-year-olds,bw,ostalbkreis,code08136,14.0
2012,percentage (%),a) time series,3- to 5-year-olds,bw,"baden-baden, stadt",code08211,22.7
2013,percentage (%),a) time series,3- to 5-year-olds,bw,"baden-baden, stadt",code08211,23.8
2014,percentage (%),a) time series,3- to 5-year-olds,bw,"baden-baden, stadt",code08211,25.4
2015,percentage (%),a) time series,3- to 5-year-olds,bw,"baden-baden, stadt",code08211,25.9
2016,percentage (%),a) time series,3- to 5-year-olds,bw,"baden-baden, stadt",code08211,26.8
2017,percentage (%),a) time series,3- to 5-year-olds,bw,"baden-baden, stadt",code08211,28.5
2018,percentage (%),a) time series,3- to 5-year-olds,bw,"baden-baden, stadt",code08211,31.0
2012,percentage (%),a) time series,3- to 5-year-olds,bw,"karlsruhe, stadt",code08212,37.0
2013,percentage (%),a) time series,3- to 5-year-olds,bw,"karlsruhe, stadt",code08212,40.0
2014,percentage (%),a) time series,3- to 5-year-olds,bw,"karlsruhe, stadt",code08212,42.7
2015,percentage (%),a) time series,3- to 5-year-olds,bw,"karlsruhe, stadt",code08212,45.1
2016,percentage (%),a) time series,3- to 5-year-olds,bw,"karlsruhe, stadt",code08212,44.0
2017,percentage (%),a) time series,3- to 5-year-olds,bw,"karlsruhe, stadt",code08212,47.4
2018,percentage (%),a) time series,3- to 5-year-olds,bw,"karlsruhe, stadt",code08212,51.5
2012,percentage (%),a) time series,3- to 5-year-olds,bw,karlsruhe,code08215,12.7
2013,percentage (%),a) time series,3- to 5-year-olds,bw,karlsruhe,code08215,14.2
2014,percentage (%),a) time series,3- to 5-year-olds,bw,karlsruhe,code08215,15.5
2015,percentage (%),a) time series,3- to 5-year-olds,bw,karlsruhe,code08215,17.3
2016,percentage (%),a) time series,3- to 5-year-olds,bw,karlsruhe,code08215,18.4
2017,percentage (%),a) time series,3- to 5-year-olds,bw,karlsruhe,code08215,19.0
2018,percentage (%),a) time series,3- to 5-year-olds,bw,karlsruhe,code08215,18.4
2012,percentage (%),a) time series,3- to 5-year-olds,bw,rastatt,code08216,12.3
2013,percentage (%),a) time series,3- to 5-year-olds,bw,rastatt,code08216,13.0
2014,percentage (%),a) time series,3- to 5-year-olds,bw,rastatt,code08216,14.3
2015,percentage (%),a) time series,3- to 5-year-olds,bw,rastatt,code08216,14.9
2016,percentage (%),a) time series,3- to 5-year-olds,bw,rastatt,code08216,16.8
2017,percentage (%),a) time series,3- to 5-year-olds,bw,rastatt,code08216,18.1
2018,percentage (%),a) time series,3- to 5-year-olds,bw,rastatt,code08216,18.6
2012,percentage (%),a) time series,3- to 5-year-olds,bw,"heidelberg, stadt",code08221,53.1
2013,percentage (%),a) time series,3- to 5-year-olds,bw,"heidelberg, stadt",code08221,53.4
2014,percentage (%),a) time series,3- to 5-year-olds,bw,"heidelberg, stadt",code08221,57.4
2015,percentage (%),a) time series,3- to 5-year-olds,bw,"heidelberg, stadt",code08221,56.8
2016,percentage (%),a) time series,3- to 5-year-olds,bw,"heidelberg, stadt",code08221,58.4
2017,percentage (%),a) time series,3- to 5-year-olds,bw,"heidelberg, stadt",code08221,60.1
2018,percentage (%),a) time series,3- to 5-year-olds,bw,"heidelberg, stadt",code08221,61.5
2012,percentage (%),a) time series,3- to 5-year-olds,bw,"mannheim, stadt",code08222,36.3
2013,percentage (%),a) time series,3- to 5-year-olds,bw,"mannheim, stadt",code08222,37.2
2014,percentage (%),a) time series,3- to 5-year-olds,bw,"mannheim, stadt",code08222,39.4
2015,percentage (%),a) time series,3- to 5-year-olds,bw,"mannheim, stadt",code08222,44.1
2016,percentage (%),a) time series,3- to 5-year-olds,bw,"mannheim, stadt",code08222,44.5
2017,percentage (%),a) time series,3- to 5-year-olds,bw,"mannheim, stadt",code08222,46.0
2018,percentage (%),a) time series,3- to 5-year-olds,bw,"mannheim, stadt",code08222,47.5
2012,percentage (%),a) time series,3- to 5-year-olds,bw,neckar-odenwald-kreis,code08225,5.2
2013,percentage (%),a) time series,3- to 5-year-olds,bw,neckar-odenwald-kreis,code08225,6.7
2014,percentage (%),a) time series,3- to 5-year-olds,bw,neckar-odenwald-kreis,code08225,7.6
2015,percentage (%),a) time series,3- to 5-year-olds,bw,neckar-odenwald-kreis,code08225,9.4
2016,percentage (%),a) time series,3- to 5-year-olds,bw,neckar-odenwald-kreis,code08225,9.4
2017,percentage (%),a) time series,3- to 5-year-olds,bw,neckar-odenwald-kreis,code08225,10.0
2018,percentage (%),a) time series,3- to 5-year-olds,bw,neckar-odenwald-kreis,code08225,9.9
2012,percentage (%),a) time series,3- to 5-year-olds,bw,rhein-neckar-kreis,code08226,17.5
2013,percentage (%),a) time series,3- to 5-year-olds,bw,rhein-neckar-kreis,code08226,19.2
2014,percentage (%),a) time series,3- to 5-year-olds,bw,rhein-neckar-kreis,code08226,21.6
2015,percentage (%),a) time series,3- to 5-year-olds,bw,rhein-neckar-kreis,code08226,23.2
2016,percentage (%),a) time series,3- to 5-year-olds,bw,rhein-neckar-kreis,code08226,25.5
2017,percentage (%),a) time series,3- to 5-year-olds,bw,rhein-neckar-kreis,code08226,27.1
2018,percentage (%),a) time series,3- to 5-year-olds,bw,rhein-neckar-kreis,code08226,28.3
2012,percentage (%),a) time series,3- to 5-year-olds,bw,"pforzheim, stadt",code08231,23.2
2013,percentage (%),a) time series,3- to 5-year-olds,bw,"pforzheim, stadt",code08231,24.0
2014,percentage (%),a) time series,3- to 5-year-olds,bw,"pforzheim, stadt",code08231,24.1
2015,percentage (%),a) time series,3- to 5-year-olds,bw,"pforzheim, stadt",code08231,23.4
2016,percentage (%),a) time series,3- to 5-year-olds,bw,"pforzheim, stadt",code08231,21.8
2017,percentage (%),a) time series,3- to 5-year-olds,bw,"pforzheim, stadt",code08231,20.2
2018,percentage (%),a) time series,3- to 5-year-olds,bw,"pforzheim, stadt",code08231,20.5
2012,percentage (%),a) time series,3- to 5-year-olds,bw,calw,code08235,6.8
2013,percentage (%),a) time series,3- to 5-year-olds,bw,calw,code08235,8.6
2014,percentage (%),a) time series,3- to 5-year-olds,bw,calw,code08235,10.4
2015,percentage (%),a) time series,3- to 5-year-olds,bw,calw,code08235,10.2
2016,percentage (%),a) time series,3- to 5-year-olds,bw,calw,code08235,11.3
2017,percentage (%),a) time series,3- to 5-year-olds,bw,calw,code08235,11.7
2018,percentage (%),a) time series,3- to 5-year-olds,bw,calw,code08235,12.2
2012,percentage (%),a) time series,3- to 5-year-olds,bw,enzkreis,code08236,11.3
2013,percentage (%),a) time series,3- to 5-year-olds,bw,enzkreis,code08236,11.6
2014,percentage (%),a) time series,3- to 5-year-olds,bw,enzkreis,code08236,13.7
2015,percentage (%),a) time series,3- to 5-year-olds,bw,enzkreis,code08236,14.6
2016,percentage (%),a) time series,3- to 5-year-olds,bw,enzkreis,code08236,14.5
2017,percentage (%),a) time series,3- to 5-year-olds,bw,enzkreis,code08236,15.6
2018,percentage (%),a) time series,3- to 5-year-olds,bw,enzkreis,code08236,15.6
2012,percentage (%),a) time series,3- to 5-year-olds,bw,freudenstadt,code08237,5.5
2013,percentage (%),a) time series,3- to 5-year-olds,bw,freudenstadt,code08237,6.6
2014,percentage (%),a) time series,3- to 5-year-olds,bw,freudenstadt,code08237,7.7
2015,percentage (%),a) time series,3- to 5-year-olds,bw,freudenstadt,code08237,9.2
2016,percentage (%),a) time series,3- to 5-year-olds,bw,freudenstadt,code08237,10.0
2017,percentage (%),a) time series,3- to 5-year-olds,bw,freudenstadt,code08237,11.4
2018,percentage (%),a) time series,3- to 5-year-olds,bw,freudenstadt,code08237,12.2
2012,percentage (%),a) time series,3- to 5-year-olds,bw,"freiburg im breisgau, stadt",code08311,28.0
2013,percentage (%),a) time series,3- to 5-year-olds,bw,"freiburg im breisgau, stadt",code08311,30.6
2014,percentage (%),a) time series,3- to 5-year-olds,bw,"freiburg im breisgau, stadt",code08311,35.3
2015,percentage (%),a) time series,3- to 5-year-olds,bw,"freiburg im breisgau, stadt",code08311,37.7
2016,percentage (%),a) time series,3- to 5-year-olds,bw,"freiburg im breisgau, stadt",code08311,37.3
2017,percentage (%),a) time series,3- to 5-year-olds,bw,"freiburg im breisgau, stadt",code08311,38.8
2018,percentage (%),a) time series,3- to 5-year-olds,bw,"freiburg im breisgau, stadt",code08311,39.4
2012,percentage (%),a) time series,3- to 5-year-olds,bw,breisgau-hochschwarzwald,code08315,11.5
2013,percentage (%),a) time series,3- to 5-year-olds,bw,breisgau-hochschwarzwald,code08315,13.2
2014,percentage (%),a) time series,3- to 5-year-olds,bw,breisgau-hochschwarzwald,code08315,15.2
2015,percentage (%),a) time series,3- to 5-year-olds,bw,breisgau-hochschwarzwald,code08315,16.7
2016,percentage (%),a) time series,3- to 5-year-olds,bw,breisgau-hochschwarzwald,code08315,18.3
2017,percentage (%),a) time series,3- to 5-year-olds,bw,breisgau-hochschwarzwald,code08315,17.7
2018,percentage (%),a) time series,3- to 5-year-olds,bw,breisgau-hochschwarzwald,code08315,18.6
2012,percentage (%),a) time series,3- to 5-year-olds,bw,emmendingen,code08316,8.6
2013,percentage (%),a) time series,3- to 5-year-olds,bw,emmendingen,code08316,10.3
2014,percentage (%),a) time series,3- to 5-year-olds,bw,emmendingen,code08316,12.7
2015,percentage (%),a) time series,3- to 5-year-olds,bw,emmendingen,code08316,14.2
2016,percentage (%),a) time series,3- to 5-year-olds,bw,emmendingen,code08316,14.7
2017,percentage (%),a) time series,3- to 5-year-olds,bw,emmendingen,code08316,16.0
2018,percentage (%),a) time series,3- to 5-year-olds,bw,emmendingen,code08316,17.0
2012,percentage (%),a) time series,3- to 5-year-olds,bw,ortenaukreis,code08317,16.3
2013,percentage (%),a) time series,3- to 5-year-olds,bw,ortenaukreis,code08317,16.1
2014,percentage (%),a) time series,3- to 5-year-olds,bw,ortenaukreis,code08317,17.3
2015,percentage (%),a) time series,3- to 5-year-olds,bw,ortenaukreis,code08317,19.3
2016,percentage (%),a) time series,3- to 5-year-olds,bw,ortenaukreis,code08317,20.6
2017,percentage (%),a) time series,3- to 5-year-olds,bw,ortenaukreis,code08317,16.9
2018,percentage (%),a) time series,3- to 5-year-olds,bw,ortenaukreis,code08317,18.1
2012,percentage (%),a) time series,3- to 5-year-olds,bw,rottweil,code08325,3.4
2013,percentage (%),a) time series,3- to 5-year-olds,bw,rottweil,code08325,4.9
2014,percentage (%),a) time series,3- to 5-year-olds,bw,rottweil,code08325,6.3
2015,percentage (%),a) time series,3- to 5-year-olds,bw,rottweil,code08325,8.0
2016,percentage (%),a) time series,3- to 5-year-olds,bw,rottweil,code08325,8.4
2017,percentage (%),a) time series,3- to 5-year-olds,bw,rottweil,code08325,8.4
2018,percentage (%),a) time series,3- to 5-year-olds,bw,rottweil,code08325,7.6
2012,percentage (%),a) time series,3- to 5-year-olds,bw,schwarzwald-baar-kreis,code08326,9.8
2013,percentage (%),a) time series,3- to 5-year-olds,bw,schwarzwald-baar-kreis,code08326,11.8
2014,percentage (%),a) time series,3- to 5-year-olds,bw,schwarzwald-baar-kreis,code08326,14.4
2015,percentage (%),a) time series,3- to 5-year-olds,bw,schwarzwald-baar-kreis,code08326,15.9
2016,percentage (%),a) time series,3- to 5-year-olds,bw,schwarzwald-baar-kreis,code08326,16.6
2017,percentage (%),a) time series,3- to 5-year-olds,bw,schwarzwald-baar-kreis,code08326,17.8
