Year,Units,display,sex,age,Bundesland,GeoCode,Value
2007,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,82.1
2008,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,82.9
2009,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,81.6
2010,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,82.2
2011,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,82.7
2012,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,83.4
2013,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,83.6
2014,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,83.4
2015,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,83.4
2016,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,82.8
2017,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,83.1
2018,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,84.0
2019,percentage (%),a) time series,male,20 - 64 years,rp,Rheinland-Pfalz,85.1
2000,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,64.1
2001,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,64.8
2002,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,65.1
2003,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,63.6
2004,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,65.2
2005,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,66.3
2006,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,68.2
2007,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,70.1
2008,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,71.3
2009,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,70.5
2010,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,71.4
2011,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,72.2
2012,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,72.7
2013,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,73.6
2014,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,73.9
2015,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,74.4
2016,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,75.7
2017,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,76.5
2018,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,77.2
2019,percentage (%),a) time series,male and female,20 - 64 years,sl,Saarland,77.5
2000,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,54.9
2001,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,54.7
2002,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,56.2
2003,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,56.1
2004,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,57.7
2005,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,59.0
2006,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,60.9
2007,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,62.6
2008,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,64.3
2009,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,63.7
2010,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,64.7
2011,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,65.8
2012,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,66.0
2013,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,67.4
2014,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,67.6
2015,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,69.8
2016,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,71.7
2017,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,72.3
2018,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,73.1
2019,percentage (%),a) time series,female,20 - 64 years,sl,Saarland,73.0
2000,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,73.2
2001,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,75.0
2002,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,73.9
2003,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,71.1
2004,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,72.4
2005,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,73.5
2006,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,75.6
2007,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,77.7
2008,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,78.3
2009,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,77.2
2010,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,78.1
2011,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,78.6
2012,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,79.3
2013,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,79.7
2014,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,80.2
2015,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,79.0
2016,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,79.6
2017,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,80.7
2018,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,81.3
2019,percentage (%),a) time series,male,20 - 64 years,sl,Saarland,81.9
2000,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,66.3
2001,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,65.6
2002,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,64.5
2003,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,64.8
2004,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,63.9
2005,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,66.3
2006,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,68.2
2007,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,70.5
2008,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,72.2
2009,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,72.7
2010,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,74.0
2011,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,75.8
2012,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,76.3
2013,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,77.3
2014,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,77.8
2015,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,78.4
2016,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,79.7
2017,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,81.0
2018,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,81.7
2019,percentage (%),a) time series,male and female,20 - 64 years,sn,Sachsen,82.4
2000,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,61.7
2001,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,62.1
2002,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,61.3
2003,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,62.2
2004,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,62.1
2005,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,64.3
2006,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,65.5
2007,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,67.3
2008,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,69.6
2009,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,70.1
2010,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,71.2
2011,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,73.0
2012,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,73.5
2013,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,74.7
2014,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,75.3
2015,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,76.3
2016,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,77.5
2017,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,79.0
2018,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,79.6
2019,percentage (%),a) time series,female,20 - 64 years,sn,Sachsen,80.3
2000,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,70.7
2001,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,68.9
2002,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,67.6
2003,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,67.3
2004,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,65.7
2005,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,68.3
2006,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,70.7
2007,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,73.5
2008,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,74.6
2009,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,75.3
2010,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,76.8
2011,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,78.5
2012,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,78.9
2013,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,79.8
2014,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,80.2
2015,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,80.4
2016,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,81.8
2017,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,82.9
2018,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,83.7
2019,percentage (%),a) time series,male,20 - 64 years,sn,Sachsen,84.3
2000,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,62.0
2001,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,62.9
2002,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,63.2
2003,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,63.0
2004,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,61.4
2005,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,64.2
2006,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,66.9
2007,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,69.2
2008,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,70.2
2009,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,71.5
2010,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,73.5
2011,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,74.9
2012,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,75.0
2013,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,75.8
2014,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,75.8
2015,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,76.4
2016,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,76.7
2017,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,77.1
2018,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,78.4
2019,percentage (%),a) time series,male and female,20 - 64 years,st,Sachsen-Anhalt,79.2
2000,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,57.2
2001,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,58.5
2002,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,59.7
2003,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,59.5
2004,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,58.2
2005,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,60.9
2006,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,63.8
2007,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,66.2
2008,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,66.9
2009,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,69.3
2010,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,71.0
2011,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,72.1
2012,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,72.4
2013,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,72.9
2014,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,73.8
2015,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,74.5
2016,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,74.6
2017,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,76.0
2018,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,76.5
2019,percentage (%),a) time series,female,20 - 64 years,st,Sachsen-Anhalt,77.4
2000,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,66.7
2001,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,67.1
2002,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,66.5
2003,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,66.5
2004,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,64.6
2005,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,67.4
2006,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,70.0
2007,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,72.1
2008,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,73.4
2009,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,73.6
2010,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,75.9
2011,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,77.6
2012,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,77.6
2013,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,78.7
2014,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,77.7
2015,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,78.3
2016,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,78.8
2017,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,78.1
2018,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,80.3
2019,percentage (%),a) time series,male,20 - 64 years,st,Sachsen-Anhalt,81.0
2000,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,69.8
2001,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,69.9
2002,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,69.3
2003,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,70.5
2004,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,69.1
2005,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,70.1
2006,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,72.5
2007,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,73.9
2008,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,75.0
2009,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,74.5
2010,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,75.6
2011,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,76.7
2012,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,77.8
2013,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,77.8
2014,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,78.3
2015,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,79.0
2016,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,78.5
2017,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,79.3
2018,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,80.1
2019,percentage (%),a) time series,male and female,20 - 64 years,sh,Schleswig-Holstein,81.6
2000,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,61.5
2001,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,62.4
2002,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,62.1
2003,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,64.3
2004,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,62.4
2005,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,63.7
2006,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,66.1
2007,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,66.7
2008,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,68.5
2009,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,68.3
2010,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,70.9
2011,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,71.9
2012,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,73.1
2013,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,72.7
2014,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,73.8
2015,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,74.4
2016,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,74.6
2017,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,76.0
2018,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,76.4
2019,percentage (%),a) time series,female,20 - 64 years,sh,Schleswig-Holstein,77.2
2000,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,78.0
2001,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,77.4
2002,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,76.5
2003,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,76.8
2004,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,75.7
2005,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,76.4
2006,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,79.0
2007,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,81.1
2008,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,81.5
2009,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,80.7
2010,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,80.3
2011,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,81.5
2012,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,82.6
2013,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,83.1
2014,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,83.0
2015,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,83.8
2016,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,82.4
2017,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,82.6
2018,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,83.9
2019,percentage (%),a) time series,male,20 - 64 years,sh,Schleswig-Holstein,86.0
2000,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,68.9
2001,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,67.2
2002,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,65.9
2003,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,65.6
2004,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,66.1
2005,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,66.4
2006,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,69.1
2007,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,71.3
2008,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,73.3
2009,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,73.8
2010,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,76.1
2011,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,77.0
2012,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,77.0
2013,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,77.9
2014,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,78.5
2015,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,77.4
2016,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,79.0
2017,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,79.9
2018,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,80.8
2019,percentage (%),a) time series,male and female,20 - 64 years,th,Thüringen,81.3
2000,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,64.2
2001,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,62.0
2002,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,61.8
2003,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,61.8
2004,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,63.3
2005,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,63.2
2006,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,65.1
2007,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,67.2
2008,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,68.8
2009,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,71.2
2010,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,73.0
2011,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,73.7
2012,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,73.6
2013,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,74.8
2014,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,75.9
2015,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,75.1
2016,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,77.0
2017,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,77.6
2018,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,78.9
2019,percentage (%),a) time series,female,20 - 64 years,th,Thüringen,80.0
2000,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,73.3
2001,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,72.1
2002,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,69.7
2003,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,69.2
2004,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,68.7
2005,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,69.4
2006,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,72.8
2007,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,75.2
2008,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,77.5
2009,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,76.2
2010,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,79.0
2011,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,80.2
2012,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,80.3
2013,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,80.8
2014,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,81.0
2015,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,79.6
2016,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,80.8
2017,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,82.0
2018,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,82.7
2019,percentage (%),a) time series,male,20 - 64 years,th,Thüringen,82.6
2000,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,19.6
2001,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,20.8
2002,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,22.2
2003,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,23.5
2004,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,25.3
2005,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,28.2
2006,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,29.7
2007,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,32.9
2008,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,35.1
2009,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,38.6
2010,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,41.1
2011,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,44.3
2012,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,46.6
2013,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,50.0
2014,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,52.6
2015,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,53.3
2016,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,56.0
2017,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,58.4
2018,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,60.3
2019,percentage (%),a) time series,male and female,60 - 64 years,a) germany (total),,61.8
2030,percentage (%),b) target (min),male and female,60 - 64 years,a) germany (total),,60.0
2000,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,12.1
2001,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,13.4
2002,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,14.5
2003,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,15.9
2004,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,17.6
2005,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,20.7
2006,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,21.9
2007,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,24.9
2008,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,27.2
2009,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,30.4
2010,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,33.1
2011,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,36.5
2012,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,38.8
2013,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,42.8
2014,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,46.2
2015,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,47.9
2016,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,50.8
2017,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,53.3
2018,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,55.4
2019,percentage (%),a) time series,female,60 - 64 years,a) germany (total),,57.1
2000,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,27.2
2001,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,28.4
2002,percentage (%),a) time series,male,60 - 64 years,a) germany (total),,30.2
